"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Rest of Co. Kerry",10,12,17,7,12,..,..,9,..,..
" "," ","Limerick City",7,10,7,11,7,7,11,9,6,4
" "," ","Limerick County",12,13,12,12,15,20,12,9,21,8
" "," ","North Tipperary",11,10,13,7,10,10,11,2,..,..
" "," ","Nenagh Town",3,1,2,1,..,..,..,..,..,..
" "," ","Templemore Town",..,0,1,0,..,..,..,1,..,..
" "," ","Thurles Town",4,2,1,3,2,..,..,..,..,..
" "," ","Rest of North Tipperary",4,7,9,3,8,..,..,1,..,..
" "," ","South Tipperary",6,11,13,9,11,16,12,7,..,..
" "," ","Carrick-on-Suir Town",1,1,1,3,1,..,..,1,..,..
" "," ","Cashel Town",1,1,2,0,1,..,..,..,..,..
" "," ","Clonmel Borough",2,1,2,4,2,..,..,2,..,..
" "," ","Tipperary Town",..,0,3,0,1,..,..,1,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,20,18
" "," ","Rest of South Tipperary",2,8,5,2,6,..,..,3,..,..
" "," ","Connacht",53,62,52,55,52,68,46,61,52,59
" "," ","Galway City",3,5,5,3,4,7,5,7,3,8
" "," ","Leitrim",7,6,..,0,3,4,2,3,5,4
" "," ","Mayo",13,16,10,19,11,21,18,16,16,13
" "," ","Ballina Town",1,1,1,1,..,..,..,..,..,..
" "," ","Castlebar Town",..,2,..,3,2,..,..,3,..,..
" "," ","Westport Town",..,0,1,1,1,..,..,1,..,..
" "," ","Rest of Co. Mayo",12,13,8,14,8,..,..,12,..,..
" "," ","Roscommon",9,6,6,6,5,6,3,6,5,7
" "," ","Boyle",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,6,5,..,..,6,..,..
" "," ","Sligo",5,11,10,7,9,9,4,9,5,4
" "," ","Sligo Borough",1,5,2,1,3,..,..,2,..,..
" "," ","Rest of Co. Sligo",4,6,8,6,6,..,..,7,..,..
" "," ","Galway County",16,18,21,20,20,21,14,20,18,23
" "," ","Ballinasloe Town",..,1,1,3,2,..,..,2,..,..
" "," ","Loughrea",..,..,..,1,1,..,..,..,..,..
" "," ","Tuam",..,..,..,1,..,..,..,2,..,..
" "," ","Rest of Co. Galway",16,17,20,15,17,..,..,16,..,..
" "," ","Ulster (pt)",39,17,26,20,24,26,27,15,30,33
" "," ","Cavan",8,6,8,5,4,4,6,1,5,8
" "," ","Cavan Town",..,2,..,0,..,..,..,..,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",8,4,8,5,4,..,..,1,..,..
" "," ","Donegal",26,9,7,13,13,17,15,9,22,20
" "," ","Buncrana Town",..,0,..,1,..,..,..,..,..,..
" "," ","Bundoran Town",1,0,..,0,..,..,..,..,..,..
" "," ","Letterkenny Town",5,0,..,4,1,..,..,1,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Donegal",20,9,7,8,12,..,..,8,..,..
" "," ","Monaghan",5,2,11,2,7,5,6,5,3,5
" "," ","Carrickmacross Town",..,0,2,0,2,..,..,..,..,..
" "," ","Castleblaney Town",..,1,1,1,1,..,..,..,..,..
" "," ","Clones Town",..,0,..,0,..,..,..,..,..,..
" "," ","Monaghan Town",3,0,1,0,..,..,..,1,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",2,1,7,1,4,..,..,4,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
"60 - 64 years"
" ","Both sexes"
" "," ","State",1675,1765,1740,1671,1635,1582,1651,1596,1584,1693
" "," ","Dublin City",246,238,231,206,211,203,203,232,180,250
" "," ","Fingal",59,73,84,57,72,67,72,67,62,60
" "," ","Balbriggan",..,..,..,3,7,..,..,2,..,..
" "," ","Rest of Fingal",..,..,..,..,65,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",63,68,72,58,58,74,53,59,65,70
" "," ","South Dublin",101,83,95,90,102,88,86,83,79,85
" "," ","Leinster",855,879,930,867,846,829,849,822,792,896
" "," ","Wicklow",48,53,54,41,42,53,43,44,49,46
" "," ","Arklow Town",2,7,4,8,4,..,..,7,..,..
" "," ","Bray Town",15,11,15,18,8,..,..,15,..,..
" "," ","Wicklow Town",3,5,4,0,4,..,..,3,..,..
" "," ","Greystones",..,..,..,4,1,..,..,4,..,..
" "," ","Rest of Wicklow",28,30,31,11,25,..,..,15,..,..
" "," ","Carlow",16,20,21,28,19,21,22,16,21,19
" "," ","Carlow Town",4,10,6,6,5,..,..,7,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,1,4,..,..,1,..,..
" "," ","Rest of Co. Carlow",12,10,15,22,10,..,..,9,..,..
" "," ","Kildare",60,57,65,80,73,72,58,72,68,62
" "," ","Athy Town",2,3,5,6,4,..,..,8,..,..
" "," ","Naas Town",5,6,12,4,5,..,..,8,..,..
" "," ","Leixlip",..,..,..,12,8,..,..,8,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,10,9,..,..,7,..,..
" "," ","Rest of Co. Kildare",53,48,48,48,47,..,..,41,..,..
" "," ","Kilkenny",28,31,30,41,37,27,39,21,34,29
" "," ","Kilkenny Borough",4,8,8,5,6,..,..,3,..,..
" "," ","Rest of Co. Kilkenny",24,23,22,36,31,..,..,18,..,..
" "," ","Laois",23,23,31,27,24,21,21,24,21,20
" "," ","Mountmellick",..,..,..,3,1,..,..,1,..,..
" "," ","Portlaoise",..,..,..,8,2,..,..,1,..,..
" "," ","Rest of Co. Laois",..,..,..,16,21,..,..,22,..,..
" "," ","Longford",14,13,21,16,13,15,24,20,21,15
" "," ","Longford town",3,5,6,2,2,..,..,2,..,..
" "," ","Granard",..,..,..,1,2,..,..,1,..,..
" "," ","Rest of Co. Longford",11,8,15,13,9,..,..,17,..,..
" "," ","Louth",40,51,35,37,44,44,45,32,45,56
" "," ","Drogheda Borough",14,10,14,9,20,..,..,6,..,..
" "," ","Dundalk Town",11,15,12,9,11,..,..,15,..,..
" "," ","Ardee",..,..,..,2,2,..,..,1,..,..
" "," ","Rest of Co. Louth",15,26,9,17,11,..,..,10,..,..
" "," ","Meath",40,62,80,58,49,49,67,51,45,45
" "," ","Kells Town",1,1,4,0,3,..,..,1,..,..
" "," ","Navan Town",5,4,22,6,6,..,..,14,..,..
" "," ","Trim Town",1,0,8,3,1,..,..,..,..,..
" "," ","Rest of Co. Meath",33,57,46,49,39,..,..,36,..,..
" "," ","Offaly",22,23,32,27,20,22,21,22,20,23
" "," ","Birr Town",3,1,2,2,2,..,..,4,..,..
" "," ","Tullamore Town",4,6,8,7,3,..,..,4,..,..
" "," ","Edenderry",..,..,..,2,5,..,..,2,..,..
" "," ","Rest of Co. Offaly",15,16,22,16,10,..,..,12,..,..
" "," ","Westmeath",39,29,24,41,27,19,38,22,34,40
" "," ","Athlone Town",11,4,3,8,7,..,..,10,..,..
" "," ","Mullingar",..,..,..,7,3,..,..,3,..,..
" "," ","Rest of Co. Westmeath",28,25,21,26,17,..,..,9,..,..
" "," ","Wexford",56,55,55,56,55,54,57,54,48,76
" "," ","Enniscorthy Town",9,5,9,0,5,..,..,2,..,..
" "," ","New Ross Town",..,2,2,2,4,..,..,7,..,..
" "," ","Wexford Borough",13,7,10,8,9,..,..,10,..,..
" "," ","Gorey",..,..,..,2,2,..,..,1,..,..
" "," ","Rest of Co. Wexford",34,41,34,44,35,..,..,34,..,..
" "," ","Munster",495,521,502,467,491,431,491,480,489,469
" "," ","Waterford County",33,30,28,21,33,14,15,18,18,26
" "," ","Dungarvan Town",9,4,5,5,7,..,..,2,..,..
" "," ","Lismore",..,..,..,0,0,..,..,..,..,..
" "," ","Tramore",..,..,..,2,7,..,..,4,..,..
" "," ","Rest of Waterford",24,26,23,14,19,..,..,12,..,..
" "," ","Waterford City",17,11,14,10,17,23,16,10,18,14
" "," ","Clare",57,59,48,50,46,49,41,35,48,52
" "," ","Ennis Town",11,5,7,12,6,..,..,5,..,..
" "," ","Kilrush Town",4,8,4,4,3,..,..,1,..,..
" "," ","Shannon",..,..,..,4,6,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,0,..,..,1,..,..
" "," ","Rest of Co. Clare",42,46,37,30,31,..,..,28,..,..
" "," ","Cork City",59,62,71,66,61,46,59,62,54,52
" "," ","Cork County",117,119,129,126,121,104,143,159,144,119
" "," ","Cobh Town",5,5,5,3,7,..,..,5,..,..
" "," ","Fermoy Town",3,1,4,2,1,..,..,2,..,..
" "," ","Kinsale Town",2,1,1,1,2,..,..,1,..,..
" "," ","Midleton Town",2,4,2,2,1,..,..,3,..,..
" "," ","Youghal Town",3,3,4,3,3,..,..,6,..,..
" "," ","Clonakilty Town",..,3,3,1,2,..,..,2,..,..
" "," ","Skibbereen Town",2,0,3,3,0,..,..,..,..,..
" "," ","Macroom Town",4,1,..,1,1,..,..,5,..,..
" "," ","Mallow Town",7,2,7,7,7,..,..,4,..,..
" "," ","Rest of Co. Cork",89,99,100,91,87,..,..,123,..,..
" "," ","Passage West",..,..,..,6,6,..,..,1,..,..
" "," ","Bandon",..,..,..,3,0,..,..,2,..,..
" "," ","Bantry",..,..,..,3,4,..,..,5,..,..
" "," ","Kerry",71,90,62,50,63,56,63,54,67,54
" "," ","Killarney Town",6,2,7,6,6,..,..,6,..,..
" "," ","Listowel Town",4,3,3,2,2,..,..,2,..,..
" "," ","Tralee Town",14,14,12,8,14,..,..,9,..,..
" "," ","Rest of Co. Kerry",47,71,40,34,41,..,..,37,..,..
" "," ","Limerick City",27,37,27,26,25,30,31,44,19,39
" "," ","Limerick County",53,45,65,48,48,45,48,46,50,56
" "," ","North Tipperary",32,36,29,23,32,29,33,22,..,..
" "," ","Nenagh Town",2,2,2,0,5,..,..,1,..,..
" "," ","Templemore Town",..,2,1,1,1,..,..,2,..,..
" "," ","Thurles Town",3,7,9,5,6,..,..,6,..,..
" "," ","Rest of North Tipperary",27,25,17,17,20,..,..,13,..,..
" "," ","South Tipperary",29,32,29,47,45,35,42,30,..,..
" "," ","Carrick-on-Suir Town",2,3,2,4,7,..,..,2,..,..
" "," ","Cashel Town",2,4,2,3,3,..,..,2,..,..
" "," ","Clonmel Borough",9,6,7,6,12,..,..,7,..,..
" "," ","Tipperary Town",2,2,6,3,5,..,..,4,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,71,57
" "," ","Rest of South Tipperary",14,17,12,31,18,..,..,15,..,..
" "," ","Connacht",214,224,184,223,212,212,209,191,198,221
" "," ","Galway City",16,24,16,15,22,30,23,24,19,26
" "," ","Leitrim",15,20,10,12,13,17,19,14,13,16
" "," ","Mayo",66,62,51,82,57,59,51,59,63,58
" "," ","Ballina Town",9,6,6,7,3,..,..,4,..,..
" "," ","Castlebar Town",5,5,3,9,5,..,..,6,..,..
" "," ","Westport Town",4,2,5,5,3,..,..,3,..,..
" "," ","Rest of Co. Mayo",48,49,37,61,46,..,..,46,..,..
" "," ","Roscommon",31,25,27,20,28,21,21,23,20,33
" "," ","Boyle",..,..,..,1,2,..,..,2,..,..
" "," ","Rest of Co. Roscommon",..,..,..,19,26,..,..,21,..,..
" "," ","Sligo",15,31,16,25,23,24,28,30,23,28
" "," ","Sligo Borough",4,8,5,6,8,..,..,11,..,..
" "," ","Rest of Co. Sligo",11,23,11,19,15,..,..,19,..,..
" "," ","Galway County",71,62,64,69,69,61,67,41,60,60
" "," ","Ballinasloe Town",5,1,4,0,5,..,..,1,..,..
" "," ","Loughrea",..,..,..,0,0,..,..,3,..,..
" "," ","Tuam",..,..,..,6,10,..,..,2,..,..
" "," ","Rest of Co. Galway",66,61,60,63,54,..,..,35,..,..
" "," ","Ulster (pt)",111,141,124,114,86,110,102,103,105,107
" "," ","Cavan",27,31,25,21,17,28,34,24,29,29
" "," ","Cavan Town",2,1,3,1,1,..,..,2,..,..
" "," ","Belturbet",..,..,..,2,0,..,..,1,..,..
" "," ","Cootehill",..,..,..,1,1,..,..,1,..,..
" "," ","Rest of Co. Cavan",25,30,22,17,15,..,..,20,..,..
" "," ","Donegal",65,82,72,72,57,60,51,54,54,55
" "," ","Buncrana Town",4,2,7,2,5,..,..,1,..,..
" "," ","Bundoran Town",2,1,5,1,2,..,..,1,..,..
" "," ","Letterkenny Town",4,4,11,5,3,..,..,8,..,..
" "," ","Ballyshannon",..,..,..,6,2,..,..,2,..,..
" "," ","Rest of Co. Donegal",55,75,49,58,45,..,..,42,..,..
" "," ","Monaghan",19,28,27,21,12,22,17,25,22,23
" "," ","Carrickmacross Town",3,3,2,1,3,..,..,2,..,..
" "," ","Castleblaney Town",1,2,3,0,0,..,..,4,..,..
" "," ","Clones Town",2,1,3,0,2,..,..,2,..,..
" "," ","Monaghan Town",2,5,5,4,2,..,..,3,..,..
" "," ","Ballybay",..,..,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Monaghan",11,17,14,15,5,..,..,14,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",1041,1079,1087,1016,994,959,1026,931,966,1050
" "," ","Dublin City",148,137,137,123,129,115,130,135,116,153
" "," ","Fingal",37,36,51,36,40,41,42,38,37,26
" "," ","Balbriggan",..,..,..,2,1,..,..,2,..,..
" "," ","Rest of Fingal",..,..,..,..,39,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",43,44,44,33,34,50,32,38,43,38
" "," ","South Dublin",66,47,60,44,55,48,52,40,50,46
" "," ","Leinster",521,514,567,537,510,495,518,467,465,544
" "," ","Wicklow",33,35,34,28,24,29,23,23,26,28
" "," ","Arklow Town",1,5,2,6,2,..,..,4,..,..
" "," ","Bray Town",10,9,7,11,3,..,..,9,..,..
" "," ","Wicklow Town",3,3,2,0,1,..,..,1,..,..
" "," ","Greystones",..,..,..,4,1,..,..,2,..,..
" "," ","Rest of Wicklow",19,18,23,7,17,..,..,7,..,..
" "," ","Carlow",11,11,13,19,12,14,14,8,9,15
" "," ","Carlow Town",2,7,2,4,2,..,..,4,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,1,3,..,..,..,..,..
" "," ","Rest of Co. Carlow",9,4,11,15,7,..,..,4,..,..
" "," ","Kildare",33,35,37,47,48,54,33,42,39,41
" "," ","Athy Town",2,2,4,5,4,..,..,7,..,..
" "," ","Naas Town",3,5,6,1,3,..,..,3,..,..
" "," ","Leixlip",..,..,..,6,7,..,..,6,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,6,6,..,..,5,..,..
" "," ","Rest of Co. Kildare",28,28,27,29,28,..,..,21,..,..
" "," ","Kilkenny",15,20,19,28,24,14,25,12,13,17
" "," ","Kilkenny Borough",2,5,6,4,4,..,..,3,..,..
" "," ","Rest of Co. Kilkenny",13,15,13,24,20,..,..,9,..,..
" "," ","Laois",14,12,22,13,11,13,15,11,11,11
" "," ","Mountmellick",..,..,..,2,1,..,..,1,..,..
" "," ","Portlaoise",..,..,..,3,2,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,8,8,..,..,10,..,..
" "," ","Longford",6,6,13,11,7,10,16,12,13,9
" "," ","Longford town",..,1,5,1,1,..,..,..,..,..
" "," ","Granard",..,..,..,1,2,..,..,1,..,..
" "," ","Rest of Co. Longford",6,5,8,9,4,..,..,11,..,..
" "," ","Louth",23,27,23,27,30,27,20,19,27,42
" "," ","Drogheda Borough",11,6,7,4,14,..,..,2,..,..
" "," ","Dundalk Town",6,7,9,6,7,..,..,10,..,..
" "," ","Ardee",..,..,..,2,2,..,..,..,..,..
" "," ","Rest of Co. Louth",6,14,7,15,7,..,..,7,..,..
" "," ","Meath",16,39,53,40,32,31,43,30,28,27
" "," ","Kells Town",1,1,4,0,1,..,..,..,..,..
" "," ","Navan Town",..,3,16,5,4,..,..,9,..,..
" "," ","Trim Town",..,0,6,3,1,..,..,..,..,..
" "," ","Rest of Co. Meath",15,35,27,32,26,..,..,21,..,..
" "," ","Offaly",14,16,17,19,14,10,11,12,11,13
" "," ","Birr Town",1,1,1,1,1,..,..,..,..,..
" "," ","Tullamore Town",2,4,5,4,2,..,..,2,..,..
" "," ","Edenderry",..,..,..,2,4,..,..,2,..,..
" "," ","Rest of Co. Offaly",11,11,11,12,7,..,..,8,..,..
" "," ","Westmeath",26,16,11,29,17,10,26,14,21,25
" "," ","Athlone Town",8,1,..,6,6,..,..,6,..,..
" "," ","Mullingar",..,..,..,5,2,..,..,2,..,..
" "," ","Rest of Co. Westmeath",18,15,11,18,9,..,..,6,..,..
" "," ","Wexford",36,33,33,37,33,29,36,31,21,53
" "," ","Enniscorthy Town",7,3,4,0,5,..,..,1,..,..
" "," ","New Ross Town",..,1,1,2,3,..,..,3,..,..
" "," ","Wexford Borough",10,5,7,6,5,..,..,5,..,..
" "," ","Gorey",..,..,..,0,1,..,..,1,..,..
" "," ","Rest of Co. Wexford",19,24,21,29,19,..,..,21,..,..
" "," ","Munster",321,330,328,274,307,264,299,275,295,299
" "," ","Waterford County",23,18,19,11,21,9,8,13,13,17
" "," ","Dungarvan Town",7,3,4,2,4,..,..,2,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,1,5,..,..,2,..,..
" "," ","Rest of Waterford",16,15,15,8,12,..,..,9,..,..
" "," ","Waterford City",9,7,8,4,10,15,11,7,9,8
" "," ","Clare",33,38,34,29,35,27,24,22,23,28
" "," ","Ennis Town",7,3,6,6,4,..,..,3,..,..
" "," ","Kilrush Town",2,5,2,3,1,..,..,1,..,..
" "," ","Shannon",..,..,..,2,6,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",24,30,26,18,24,..,..,18,..,..
" "," ","Cork City",36,36,49,39,37,27,32,41,32,35
" "," ","Cork County",75,77,80,74,82,61,90,81,85,88
" "," ","Cobh Town",5,4,5,1,3,..,..,3,..,..
" "," ","Fermoy Town",3,0,2,2,1,..,..,..,..,..
" "," ","Kinsale Town",1,1,1,1,..,..,..,1,..,..
" "," ","Midleton Town",1,4,1,0,1,..,..,2,..,..
" "," ","Youghal Town",1,2,3,2,3,..,..,2,..,..
" "," ","Clonakilty Town",..,2,3,1,2,..,..,1,..,..
" "," ","Skibbereen Town",..,0,3,3,..,..,..,..,..,..
" "," ","Macroom Town",3,1,..,1,1,..,..,2,..,..
" "," ","Mallow Town",3,1,3,4,4,..,..,2,..,..
" "," ","Rest of Co. Cork",58,62,59,51,61,..,..,64,..,..
" "," ","Passage West",..,..,..,3,4,..,..,..,..,..
" "," ","Bandon",..,..,..,3,..,..,..,2,..,..
" "," ","Bantry",..,..,..,2,2,..,..,2,..,..
" "," ","Kerry",54,53,41,29,33,41,43,34,39,30
" "," ","Killarney Town",5,2,4,1,3,..,..,5,..,..
" "," ","Listowel Town",3,1,2,0,1,..,..,1,..,..
" "," ","Tralee Town",11,6,7,6,6,..,..,3,..,..
" "," ","Rest of Co. Kerry",35,44,28,22,23,..,..,25,..,..
" "," ","Limerick City",19,25,12,14,17,20,22,23,12,22
" "," ","Limerick County",33,31,42,30,32,22,32,23,30,38
" "," ","North Tipperary",22,24,23,13,20,21,13,12,..,..
" "," ","Nenagh Town",2,0,2,0,2,..,..,1,..,..
" "," ","Templemore Town",..,2,1,0,1,..,..,1,..,..
" "," ","Thurles Town",1,7,9,3,5,..,..,4,..,..
" "," ","Rest of North Tipperary",19,15,11,10,12,..,..,6,..,..
" "," ","South Tipperary",17,21,20,31,20,21,24,19,..,..
" "," ","Carrick-on-Suir Town",2,1,1,3,2,..,..,2,..,..
" "," ","Cashel Town",1,2,..,0,2,..,..,1,..,..
" "," ","Clonmel Borough",6,5,5,6,4,..,..,5,..,..
" "," ","Tipperary Town",1,2,4,1,2,..,..,3,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,52,33
" "," ","Rest of South Tipperary",7,11,10,21,10,..,..,8,..,..
" "," ","Connacht",129,147,115,135,126,128,147,119,137,130
" "," ","Galway City",10,16,12,9,15,17,20,16,10,14
" "," ","Leitrim",8,14,6,9,11,9,14,7,7,11
" "," ","Mayo",41,44,26,46,36,43,32,33,42,36
" "," ","Ballina Town",4,2,2,5,2,..,..,2,..,..
" "," ","Castlebar Town",3,4,1,4,2,..,..,4,..,..
" "," ","Westport Town",1,1,2,3,1,..,..,..,..,..
" "," ","Rest of Co. Mayo",33,37,21,34,31,..,..,27,..,..
" "," ","Roscommon",23,15,16,18,18,11,18,14,14,20
" "," ","Boyle",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,17,17,..,..,14,..,..
" "," ","Sligo",7,24,11,12,13,14,15,20,16,13
" "," ","Sligo Borough",1,7,4,2,5,..,..,7,..,..
" "," ","Rest of Co. Sligo",6,17,7,10,8,..,..,13,..,..
" "," ","Galway County",40,34,44,41,33,34,48,29,48,36
" "," ","Ballinasloe Town",2,0,..,0,2,..,..,..,..,..
" "," ","Loughrea",..,..,..,0,..,..,..,3,..,..
" "," ","Tuam",..,..,..,3,3,..,..,2,..,..
" "," ","Rest of Co. Galway",38,34,44,38,28,..,..,24,..,..
" "," ","Ulster (pt)",70,88,77,70,51,72,62,70,69,77
" "," ","Cavan",19,17,17,17,6,16,20,17,20,22
" "," ","Cavan Town",2,1,2,0,..,..,..,1,..,..
" "," ","Belturbet",..,..,..,2,..,..,..,1,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Cavan",17,16,15,15,6,..,..,14,..,..
" "," ","Donegal",38,50,41,42,37,45,28,36,35,37
" "," ","Buncrana Town",2,1,3,1,5,..,..,1,..,..
" "," ","Bundoran Town",1,1,4,0,1,..,..,..,..,..
" "," ","Letterkenny Town",2,1,7,3,2,..,..,6,..,..
" "," ","Ballyshannon",..,..,..,3,2,..,..,2,..,..
" "," ","Rest of Co. Donegal",33,47,27,35,27,..,..,27,..,..
" "," ","Monaghan",13,21,19,11,8,11,14,17,14,18
" "," ","Carrickmacross Town",3,2,1,1,3,..,..,2,..,..
" "," ","Castleblaney Town",1,2,1,0,..,..,..,3,..,..
" "," ","Clones Town",2,1,3,0,1,..,..,1,..,..
" "," ","Monaghan Town",1,3,3,2,1,..,..,..,..,..
" "," ","Ballybay",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",6,13,11,7,3,..,..,11,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",634,686,653,655,641,623,625,665,618,643
" "," ","Dublin City",98,101,94,83,82,88,73,97,64,97
" "," ","Fingal",22,37,33,21,32,26,30,29,25,34
" "," ","Balbriggan",..,..,..,1,6,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,26,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",20,24,28,25,24,24,21,21,22,32
" "," ","South Dublin",35,36,35,46,47,40,34,43,29,39
" "," ","Leinster",334,365,363,330,336,334,331,355,327,352
" "," ","Wicklow",15,18,20,13,18,24,20,21,23,18
" "," ","Arklow Town",1,2,2,2,2,..,..,3,..,..
" "," ","Bray Town",5,2,8,7,5,..,..,6,..,..
" "," ","Wicklow Town",..,2,2,0,3,..,..,2,..,..
" "," ","Greystones",..,..,..,0,..,..,..,2,..,..
" "," ","Rest of Wicklow",9,12,8,4,8,..,..,8,..,..
" "," ","Carlow",5,9,8,9,7,7,8,8,12,4
" "," ","Carlow Town",2,3,4,2,3,..,..,3,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,1,..,..,1,..,..
" "," ","Rest of Co. Carlow",3,6,4,7,3,..,..,5,..,..
" "," ","Kildare",27,22,28,33,25,18,25,30,29,21
" "," ","Athy Town",..,1,1,1,..,..,..,1,..,..
" "," ","Naas Town",2,1,6,3,2,..,..,5,..,..
" "," ","Leixlip",..,..,..,6,1,..,..,2,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,4,3,..,..,2,..,..
" "," ","Rest of Co. Kildare",25,20,21,19,19,..,..,20,..,..
" "," ","Kilkenny",13,11,11,13,13,13,14,9,21,12
" "," ","Kilkenny Borough",2,3,2,1,2,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",11,8,9,12,11,..,..,9,..,..
" "," ","Laois",9,11,9,14,13,8,6,13,10,9
" "," ","Mountmellick",..,..,..,1,..,..,..,..,..,..
" "," ","Portlaoise",..,..,..,5,..,..,..,1,..,..
" "," ","Rest of Co. Laois",..,..,..,8,13,..,..,12,..,..
" "," ","Longford",8,7,8,5,6,5,8,8,8,6
" "," ","Longford town",3,4,1,1,1,..,..,2,..,..
" "," ","Granard",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Longford",5,3,7,4,5,..,..,6,..,..
" "," ","Louth",17,24,12,10,14,17,25,13,18,14
" "," ","Drogheda Borough",3,4,7,5,6,..,..,4,..,..
" "," ","Dundalk Town",5,8,3,3,4,..,..,5,..,..
" "," ","Ardee",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Louth",9,12,2,2,4,..,..,3,..,..
" "," ","Meath",24,23,27,18,17,18,24,21,17,18
" "," ","Kells Town",..,0,..,0,2,..,..,1,..,..
" "," ","Navan Town",5,1,6,1,2,..,..,5,..,..
" "," ","Trim Town",1,0,2,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",18,22,19,17,13,..,..,15,..,..
" "," ","Offaly",8,7,15,8,6,12,10,10,9,10
" "," ","Birr Town",2,0,1,1,1,..,..,4,..,..
" "," ","Tullamore Town",2,2,3,3,1,..,..,2,..,..
" "," ","Edenderry",..,..,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Offaly",4,5,11,4,3,..,..,4,..,..
" "," ","Westmeath",13,13,13,12,10,9,12,8,13,15
" "," ","Athlone Town",3,3,3,2,1,..,..,4,..,..
" "," ","Mullingar",..,..,..,2,1,..,..,1,..,..
" "," ","Rest of Co. Westmeath",10,10,10,8,8,..,..,3,..,..
" "," ","Wexford",20,22,22,19,22,25,21,23,27,23
" "," ","Enniscorthy Town",2,2,5,0,..,..,..,1,..,..
" "," ","New Ross Town",..,1,1,0,1,..,..,4,..,..
" "," ","Wexford Borough",3,2,3,2,4,..,..,5,..,..
" "," ","Gorey",..,..,..,2,1,..,..,..,..,..
" "," ","Rest of Co. Wexford",15,17,13,15,16,..,..,13,..,..
" "," ","Munster",174,191,174,193,184,167,192,205,194,170
" "," ","Waterford County",10,12,9,10,12,5,7,5,5,9
" "," ","Dungarvan Town",2,1,1,3,3,..,..,..,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,1,2,..,..,2,..,..
" "," ","Rest of Waterford",8,11,8,6,7,..,..,3,..,..
" "," ","Waterford City",8,4,6,6,7,8,5,3,9,6
" "," ","Clare",24,21,14,21,11,22,17,13,25,24
" "," ","Ennis Town",4,2,1,6,2,..,..,2,..,..
" "," ","Kilrush Town",2,3,2,1,2,..,..,..,..,..
" "," ","Shannon",..,..,..,2,..,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Clare",18,16,11,12,7,..,..,10,..,..
" "," ","Cork City",23,26,22,27,24,19,27,21,22,17
" "," ","Cork County",42,42,49,52,39,43,53,78,59,31
" "," ","Cobh Town",..,1,..,2,4,..,..,2,..,..
" "," ","Fermoy Town",..,1,2,0,..,..,..,2,..,..
" "," ","Kinsale Town",1,0,..,0,2,..,..,..,..,..
" "," ","Midleton Town",1,0,1,2,..,..,..,1,..,..
