"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","South Tipperary",4,2,..,1,..,1,3,4,..,..
" "," ","Carrick-on-Suir Town",..,1,..,0,..,..,..,1,..,..
" "," ","Cashel Town",1,0,..,0,..,..,..,..,..,..
" "," ","Clonmel Borough",..,1,..,0,..,..,..,..,..,..
" "," ","Tipperary Town",1,0,..,0,..,..,..,1,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,4,1
" "," ","Rest of South Tipperary",2,0,..,1,..,..,..,2,..,..
" "," ","Connacht",16,20,13,10,13,21,14,10,9,9
" "," ","Galway City",4,1,1,2,2,2,2,2,0,0
" "," ","Leitrim",..,2,1,0,1,2,..,..,0,0
" "," ","Mayo",5,4,2,2,4,5,5,1,1,3
" "," ","Ballina Town",1,0,2,0,1,..,..,..,..,..
" "," ","Castlebar Town",1,1,..,0,..,..,..,..,..,..
" "," ","Westport Town",..,0,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Mayo",3,3,..,1,3,..,..,1,..,..
" "," ","Roscommon",1,3,..,1,3,1,4,..,3,1
" "," ","Boyle",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,3,..,..,..,..,..
" "," ","Sligo",2,2,4,1,1,2,1,3,2,0
" "," ","Sligo Borough",1,1,2,0,..,..,..,1,..,..
" "," ","Rest of Co. Sligo",1,1,2,1,1,..,..,2,..,..
" "," ","Galway County",4,8,5,4,2,9,2,4,3,5
" "," ","Ballinasloe Town",..,0,..,1,1,..,..,..,..,..
" "," ","Loughrea",..,..,..,0,..,..,..,..,..,..
" "," ","Tuam",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Galway",4,8,5,2,1,..,..,4,..,..
" "," ","Ulster (pt)",8,6,5,14,12,11,8,9,9,1
" "," ","Cavan",3,1,1,3,3,2,..,3,5,0
" "," ","Cavan Town",1,0,..,0,..,..,..,1,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",2,1,1,3,3,..,..,2,..,..
" "," ","Donegal",4,4,4,6,7,7,5,5,3,1
" "," ","Buncrana Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bundoran Town",..,0,..,0,2,..,..,..,..,..
" "," ","Letterkenny Town",1,0,1,0,..,..,..,1,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Donegal",3,4,3,6,5,..,..,4,..,..
" "," ","Monaghan",1,1,..,5,2,2,3,1,1,0
" "," ","Carrickmacross Town",..,0,..,0,..,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clones Town",1,0,..,0,..,..,..,1,..,..
" "," ","Monaghan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",..,1,..,5,2,..,..,..,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",117,112,122,105,94,100,85,98,93,86
" "," ","Dublin City",5,10,10,12,5,10,10,12,12,12
" "," ","Fingal",8,9,4,8,6,7,4,6,8,4
" "," ","Balbriggan",..,..,..,1,..,..,..,1,..,..
" "," ","Rest of Fingal",..,..,..,..,6,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",4,3,1,2,1,9,6,1,4,4
" "," ","South Dublin",2,6,9,12,5,7,9,7,4,4
" "," ","Leinster",59,53,56,55,45,57,48,60,54,52
" "," ","Wicklow",7,4,4,2,4,5,2,5,1,6
" "," ","Arklow Town",2,0,..,0,1,..,..,2,..,..
" "," ","Bray Town",1,1,1,1,1,..,..,..,..,..
" "," ","Wicklow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Greystones",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Wicklow",4,3,3,1,2,..,..,2,..,..
" "," ","Carlow",..,1,1,1,2,..,2,4,1,2
" "," ","Carlow Town",..,0,..,1,1,..,..,4,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Carlow",..,1,1,0,1,..,..,..,..,..
" "," ","Kildare",6,3,5,1,1,2,2,5,5,4
" "," ","Athy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Naas Town",2,0,..,0,..,..,..,1,..,..
" "," ","Leixlip",..,..,..,0,1,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kildare",4,3,5,1,..,..,..,4,..,..
" "," ","Kilkenny",2,1,2,3,2,1,2,..,1,0
" "," ","Kilkenny Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",2,1,2,3,2,..,..,..,..,..
" "," ","Laois",1,1,2,1,4,1,1,1,0,1
" "," ","Mountmellick",..,..,..,0,..,..,..,..,..,..
" "," ","Portlaoise",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,1,4,..,..,1,..,..
" "," ","Longford",2,1,1,1,3,1,..,2,0,3
" "," ","Longford town",..,0,1,1,..,..,..,..,..,..
" "," ","Granard",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Longford",2,1,..,0,3,..,..,2,..,..
" "," ","Louth",5,3,2,2,2,2,1,3,4,1
" "," ","Drogheda Borough",1,1,..,0,..,..,..,..,..,..
" "," ","Dundalk Town",3,0,..,0,1,..,..,2,..,..
" "," ","Ardee",..,..,..,2,..,..,..,..,..,..
" "," ","Rest of Co. Louth",1,2,2,0,1,..,..,1,..,..
" "," ","Meath",10,4,6,2,3,3,3,4,5,5
" "," ","Kells Town",..,0,..,0,..,..,..,..,..,..
" "," ","Navan Town",3,0,3,2,1,..,..,2,..,..
" "," ","Trim Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",7,4,3,0,2,..,..,2,..,..
" "," ","Offaly",3,1,1,2,2,1,2,3,3,1
" "," ","Birr Town",..,0,..,0,..,..,..,1,..,..
" "," ","Tullamore Town",..,0,..,0,..,..,..,2,..,..
" "," ","Edenderry",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Offaly",3,1,1,2,2,..,..,..,..,..
" "," ","Westmeath",2,3,2,2,..,2,2,2,1,2
" "," ","Athlone Town",1,0,..,0,..,..,..,1,..,..
" "," ","Mullingar",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Westmeath",1,3,2,1,..,..,..,1,..,..
" "," ","Wexford",2,3,6,3,5,6,2,4,5,3
" "," ","Enniscorthy Town",..,0,2,0,..,..,..,..,..,..
" "," ","New Ross Town",..,0,1,0,..,..,..,..,..,..
" "," ","Wexford Borough",..,0,..,1,..,..,..,..,..,..
" "," ","Gorey",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Wexford",2,3,3,1,4,..,..,4,..,..
" "," ","Munster",38,36,41,34,30,24,22,26,27,19
" "," ","Waterford County",1,0,1,3,..,..,3,2,0,0
" "," ","Dungarvan Town",..,0,..,0,..,..,..,1,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Waterford",1,0,1,3,..,..,..,1,..,..
" "," ","Waterford City",2,1,3,2,1,1,1,1,0,1
" "," ","Clare",4,6,2,6,6,3,5,3,2,1
" "," ","Ennis Town",1,3,..,0,..,..,..,1,..,..
" "," ","Kilrush Town",..,0,..,0,..,..,..,..,..,..
" "," ","Shannon",..,..,..,0,1,..,..,1,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",3,3,2,6,5,..,..,1,..,..
" "," ","Cork City",2,1,3,2,1,2,2,1,2,3
" "," ","Cork County",16,16,11,6,7,8,4,6,8,5
" "," ","Cobh Town",1,0,..,0,..,..,..,..,..,..
" "," ","Fermoy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Kinsale Town",..,0,..,0,..,..,..,..,..,..
" "," ","Midleton Town",2,1,1,0,..,..,..,..,..,..
" "," ","Youghal Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonakilty Town",1,0,..,0,..,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,..,..,..,..,..,..
" "," ","Macroom Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mallow Town",..,1,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Cork",12,14,10,6,6,..,..,6,..,..
" "," ","Passage West",..,..,..,0,..,..,..,..,..,..
" "," ","Bandon",..,..,..,0,..,..,..,..,..,..
" "," ","Bantry",..,..,..,0,..,..,..,..,..,..
" "," ","Kerry",3,2,4,3,6,3,1,4,2,0
" "," ","Killarney Town",..,0,..,2,1,..,..,1,..,..
" "," ","Listowel Town",..,1,..,0,..,..,..,..,..,..
" "," ","Tralee Town",1,0,1,0,1,..,..,..,..,..
" "," ","Rest of Co. Kerry",2,1,3,1,4,..,..,3,..,..
" "," ","Limerick City",2,2,2,3,..,3,1,1,2,1
" "," ","Limerick County",5,4,9,4,4,1,2,3,4,4
" "," ","North Tipperary",3,1,6,4,3,1,1,1,..,..
" "," ","Nenagh Town",..,0,..,1,..,..,..,..,..,..
" "," ","Templemore Town",..,0,..,0,..,..,..,..,..,..
" "," ","Thurles Town",..,0,1,0,..,..,..,..,..,..
" "," ","Rest of North Tipperary",3,1,5,3,3,..,..,1,..,..
" "," ","South Tipperary",..,3,..,1,2,2,2,4,..,..
" "," ","Carrick-on-Suir Town",..,0,..,0,..,..,..,..,..,..
" "," ","Cashel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonmel Borough",..,0,..,0,1,..,..,..,..,..
